card_id,card_type,card_name,card_race,card_equality,card_attack,card_maxhp,cost,card_description,description_params,card_drop_weight
int,string,string,string,int,int,int,int,string,int[],float
卡牌唯一ID,卡牌类型,卡牌名称,卡牌种族,卡牌品质,卡牌攻击力,卡牌血量上限,卡牌能量消耗,卡牌描述，使用{0}、{1}作为参数占位符,描述参数，按占位符顺序使用;分隔,同品质卡牌候选池中的相对掉落权重，当前统一为100
1,function,绷带,,1,,,3,恢复{0}%的最大生命,10,100
2,function,治愈术,,2,,,4,恢复{0}%的最大生命,30,100
3,function,生命绽放,,3,,,5,恢复{0}%的最大生命,50,100
4,function,圣光祝福,,4,,,8,恢复全部生命值,,100
5,function,坚守,,0,,,2,选定一名英雄获得{0}点护盾,1,100
6,function,激昂,,0,,,3,使1名英雄本回合攻击力+{0},1,100
7,function,疗愈,,0,,,2,使1名英雄恢复{0}点生命值,1,100
8,function,振奋,,1,,,3,本回合所有英雄攻击力+{0},1,100
9,function,灵巧,,1,,,2,再抽一张牌,,100
10,function,穿刺,,2,,,3,对一名英雄使用，该英雄本回合可直接对敌人造成伤害,,100
11,function,连击,,3,,,4,对一名英雄使用，该英雄本回合可攻击两次,,100
12,function,封禁,,2,,,4,对场上1名敌方英雄使用，可使其下回合无法攻击,,100
100,battle_hero,史莱姆,Slime,0,1,3,3,,,100
101,battle_hero,野猪,,0,2,2,5,,,100
102,battle_hero,毒蛇,,0,2,1,3,,,100
103,battle_hero,野人,,0,1,2,2,,,100
104,battle_hero,飞鹰,,0,3,1,5,,,100
105,battle_hero,骷髅,,0,1,1,1,,,100
106,battle_hero,龟,,0,0,4,3,,,100
200,battle_hero,火史莱姆,Slime,1,1,3,3,攻击时有{0}%概率施加{1}层燃烧,50;1,100
201,battle_hero,冰史莱姆,Slime,1,1,3,3,攻击时有{0}%概率施加{1}层冰寒,50;1,100
202,battle_hero,电史莱姆,Slime,1,1,3,3,攻击时有{0}%概率施加麻痹,20,100
203,battle_hero,草史莱姆,Slime,1,1,3,3,攻击时有{0}%概率恢复自身{1}点生命值,30;1,100
204,battle_hero,岩史莱姆,Slime,1,1,3,3,攻击时有{0}%概率获得{1}层护盾,50;1,100
205,battle_hero,智者,,1,1,3,3,攻击后抽取{0}张牌,1,100
206,battle_hero,大史莱姆,Slime,1,2,3,4,,,100
207,battle_hero,獠牙野猪,Beast,1,1,3,3,登场时对随机敌方卡牌造成{0}点伤害,1,100
208,battle_hero,月影狐,Beast,1,1,2,3,攻击生命值低于一半的目标时，造成双倍伤害,,100
500,battle_hero,骑士史莱姆,Slime,2,2,4,4,,,100
501,battle_hero,枪骑兵,,2,2,3,4,穿刺：攻击时穿透卡牌对敌人造成伤害,,100
502,battle_hero,火史莱姆法师,Slime,2,2,3,3,攻击时施加{1}层燃烧,1,100
503,battle_hero,冰史莱姆法师,Slime,2,2,3,3,攻击时施加{1}层冰寒,1,100
504,battle_hero,电史莱姆法师,Slime,2,2,3,3,攻击时有{0}%概率施加麻痹,50,100
505,battle_hero,草史莱姆法师,Slime,2,2,3,3,攻击时恢复自身{1}点生命值,1,100
506,battle_hero,岩史莱姆法师,Slime,2,2,3,3,攻击时获得{1}层护盾,1,100
507,battle_hero,吸血蝠,Beast,2,2,3,5,攻击后恢复等量于伤害的生命值,,100
508,battle_hero,铁甲犀牛,Beast,2,2,4,5,每回合首次受到伤害时，使本次伤害减少{0}点,1,100
1000,battle_hero,史莱姆大王,Slime,3,2,5,5,史莱姆类卡对你造成的伤害减半,,100
1001,battle_hero,无头骑士,,3,3,3,5,击杀敌人后可立即再攻击一次,2,100
1002,battle_hero,蒸汽拳手,,3,3,5,5,攻击时无视护甲直接造成伤害,,100
1003,battle_hero,岩石巨像,,3,1,6,4,每回合获得{0}点护盾,1,100
2000,battle_hero,六翼天使,,4,4,8,8,圣歌：死亡后复活并回复一半的生命值,,100
2001,battle_hero,寒霜巨龙,,4,3,7,8,对敌方所有目标造成伤害\n寒息：攻击时若敌方携带冰寒，立即造成冻结,,100
2002,battle_hero,深渊领主,,4,2,5,7,深渊凝视：击杀敌人时，夺取敌方当前血量和攻击力,,100
